Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dustin Hopkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
